swerve_left,swerve_right,cruise,keep,change_to_left,change_to_right,right_lane,left_lane
1,0,0,0,0,0,
0,1,0,0,0,0,
0,0,1,0,0,0,
0,0,0,1,0,0,
0,0,0,0,1,0,
0,0,0,0,0,1,
1,1,0,0,0,0,
1,0,1,0,0,0,
1,0,0,1,0,0,
1,0,0,0,1,0,
1,0,0,0,0,1,
0,1,1,0,0,0,
0,1,0,1,0,0,
0,1,0,0,1,0,
0,1,0,0,0,1,
0,0,1,1,0,0,
0,0,1,0,1,0,
0,0,1,0,0,1,
0,0,0,1,1,0,
0,0,0,1,0,1,
0,0,0,0,1,1,
1,1,1,0,0,0,
1,1,0,1,0,0,
1,1,0,0,1,0,
1,1,0,0,0,1,
1,0,1,1,0,0,
1,0,1,0,1,0,
1,0,1,0,0,1,
1,0,0,1,1,0,
1,0,0,1,0,1,
1,0,0,0,1,1,
0,1,1,1,0,0,
0,1,1,0,1,0,
0,1,1,0,0,1,
0,1,0,1,1,0,
0,1,0,1,0,1,
0,1,0,0,1,1,
0,0,1,1,1,0,
0,0,1,1,0,1,
0,0,1,0,1,1,
0,0,0,1,1,1,
1,1,1,1,0,0,
1,1,1,0,1,0,
1,1,1,0,0,1,
1,1,0,1,1,0,
1,1,0,1,0,1,
1,1,0,0,1,1,
1,0,1,1,1,0,
1,0,1,1,0,1,
1,0,1,0,1,1,
1,0,0,1,1,1,
0,1,1,1,1,0,
0,1,1,1,0,1,
0,1,1,0,1,1,
0,1,0,1,1,1,
0,0,1,1,1,1,
1,1,1,1,1,0,
1,1,1,1,0,1,
1,1,1,0,1,1,
1,1,0,1,1,1,
1,0,1,1,1,1,
0,1,1,1,1,1,
1,1,1,1,1,1,
