action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,iaction,group_id,ranking
cruise,False,False,False,False,True,False,True,keep,17,1
cruise,False,False,False,False,True,False,True,swerve_left,17,1
cruise,False,False,False,False,True,False,True,swerve_right,17,2
cruise,False,False,False,False,True,False,True,change_to_left,17,3
cruise,False,False,False,False,True,False,True,change_to_right,17,3
cruise,False,False,False,False,True,False,True,cruise,17,4
change_to_left,False,False,False,False,True,False,True,keep,18,1
change_to_left,False,False,False,False,True,False,True,swerve_left,18,1
change_to_left,False,False,False,False,True,False,True,swerve_right,18,2
change_to_left,False,False,False,False,True,False,True,change_to_right,18,3
change_to_left,False,False,False,False,True,False,True,cruise,18,3
change_to_left,False,False,False,False,True,False,True,change_to_left,18,4
change_to_right,False,False,False,False,True,True,False,keep,19,1
change_to_right,False,False,False,False,True,True,False,swerve_left,19,1
change_to_right,False,False,False,False,True,True,False,swerve_right,19,1
change_to_right,False,False,False,False,True,True,False,change_to_left,19,2
change_to_right,False,False,False,False,True,True,False,cruise,19,2
change_to_right,False,False,False,False,True,True,False,change_to_right,19,3
cruise,False,False,False,False,True,True,False,keep,20,1
cruise,False,False,False,False,True,True,False,swerve_left,20,1
cruise,False,False,False,False,True,True,False,swerve_right,20,1
cruise,False,False,False,False,True,True,False,change_to_left,20,2
cruise,False,False,False,False,True,True,False,change_to_right,20,2
cruise,False,False,False,False,True,True,False,cruise,20,3
change_to_left,False,False,False,False,True,True,False,keep,21,1
change_to_left,False,False,False,False,True,True,False,swerve_left,21,1
change_to_left,False,False,False,False,True,True,False,swerve_right,21,1
change_to_left,False,False,False,False,True,True,False,change_to_right,21,2
change_to_left,False,False,False,False,True,True,False,cruise,21,2
change_to_left,False,False,False,False,True,True,False,change_to_left,21,3
cruise,False,False,False,False,True,True,True,keep,22,1
cruise,False,False,False,False,True,True,True,swerve_left,22,2
cruise,False,False,False,False,True,True,True,swerve_right,22,2
cruise,False,False,False,False,True,True,True,change_to_left,22,3
cruise,False,False,False,False,True,True,True,change_to_right,22,3
cruise,False,False,False,False,True,True,True,cruise,22,4
change_to_right,False,False,False,False,True,True,True,keep,23,1
change_to_right,False,False,False,False,True,True,True,swerve_left,23,2
change_to_right,False,False,False,False,True,True,True,swerve_right,23,2
change_to_right,False,False,False,False,True,True,True,change_to_left,23,3
change_to_right,False,False,False,False,True,True,True,cruise,23,3
change_to_right,False,False,False,False,True,True,True,change_to_right,23,4
change_to_left,False,False,False,False,True,True,True,keep,24,1
change_to_left,False,False,False,False,True,True,True,swerve_left,24,2
change_to_left,False,False,False,False,True,True,True,swerve_right,24,2
change_to_left,False,False,False,False,True,True,True,change_to_right,24,3
change_to_left,False,False,False,False,True,True,True,cruise,24,3
change_to_left,False,False,False,False,True,True,True,change_to_left,24,4
change_to_right,False,False,False,True,False,False,False,cruise,25,1
change_to_right,False,False,False,True,False,False,False,keep,25,1
change_to_right,False,False,False,True,False,False,False,swerve_left,25,1
change_to_right,False,False,False,True,False,False,False,swerve_right,25,1
change_to_right,False,False,False,True,False,False,False,change_to_left,25,2
change_to_right,False,False,False,True,False,False,False,change_to_right,25,3
change_to_left,False,False,False,True,False,False,False,cruise,26,1
change_to_left,False,False,False,True,False,False,False,keep,26,1
change_to_left,False,False,False,True,False,False,False,swerve_left,26,1
change_to_left,False,False,False,True,False,False,False,swerve_right,26,1
change_to_left,False,False,False,True,False,False,False,change_to_right,26,2
change_to_left,False,False,False,True,False,False,False,change_to_left,26,3
change_to_right,False,False,False,True,False,False,True,cruise,27,1
change_to_right,False,False,False,True,False,False,True,keep,27,1
change_to_right,False,False,False,True,False,False,True,swerve_left,27,1
change_to_right,False,False,False,True,False,False,True,swerve_right,27,2
change_to_right,False,False,False,True,False,False,True,change_to_left,27,3
change_to_right,False,False,False,True,False,False,True,change_to_right,27,4
change_to_left,False,False,False,True,False,False,True,cruise,28,1
change_to_left,False,False,False,True,False,False,True,keep,28,1
change_to_left,False,False,False,True,False,False,True,swerve_left,28,1
change_to_left,False,False,False,True,False,False,True,swerve_right,28,2
change_to_left,False,False,False,True,False,False,True,change_to_right,28,3
change_to_left,False,False,False,True,False,False,True,change_to_left,28,4
change_to_right,False,False,False,True,False,True,False,cruise,29,1
change_to_right,False,False,False,True,False,True,False,keep,29,1
change_to_right,False,False,False,True,False,True,False,swerve_left,29,1
change_to_right,False,False,False,True,False,True,False,swerve_right,29,1
change_to_right,False,False,False,True,False,True,False,change_to_left,29,2
change_to_right,False,False,False,True,False,True,False,change_to_right,29,3
change_to_left,False,False,False,True,False,True,False,cruise,30,1
change_to_left,False,False,False,True,False,True,False,keep,30,1
change_to_left,False,False,False,True,False,True,False,swerve_left,30,1
change_to_left,False,False,False,True,False,True,False,swerve_right,30,1
change_to_left,False,False,False,True,False,True,False,change_to_right,30,2
change_to_left,False,False,False,True,False,True,False,change_to_left,30,3
change_to_right,False,False,False,True,False,True,True,cruise,31,1
change_to_right,False,False,False,True,False,True,True,keep,31,1
change_to_right,False,False,False,True,False,True,True,swerve_left,31,1
change_to_right,False,False,False,True,False,True,True,swerve_right,31,2
change_to_right,False,False,False,True,False,True,True,change_to_left,31,3
change_to_right,False,False,False,True,False,True,True,change_to_right,31,4
change_to_left,False,False,False,True,False,True,True,cruise,32,1
change_to_left,False,False,False,True,False,True,True,keep,32,1
change_to_left,False,False,False,True,False,True,True,swerve_left,32,1
change_to_left,False,False,False,True,False,True,True,swerve_right,32,2
change_to_left,False,False,False,True,False,True,True,change_to_right,32,3
change_to_left,False,False,False,True,False,True,True,change_to_left,32,4
change_to_right,False,False,False,True,True,False,False,cruise,33,1
change_to_right,False,False,False,True,True,False,False,keep,33,1
change_to_right,False,False,False,True,True,False,False,swerve_left,33,1
change_to_right,False,False,False,True,True,False,False,swerve_right,33,1
change_to_right,False,False,False,True,True,False,False,change_to_left,33,2
change_to_right,False,False,False,True,True,False,False,change_to_right,33,3
change_to_left,False,False,False,True,True,False,False,cruise,34,1
change_to_left,False,False,False,True,True,False,False,keep,34,1
change_to_left,False,False,False,True,True,False,False,swerve_left,34,1
change_to_left,False,False,False,True,True,False,False,swerve_right,34,1
change_to_left,False,False,False,True,True,False,False,change_to_right,34,2
change_to_left,False,False,False,True,True,False,False,change_to_left,34,3
change_to_right,False,False,False,True,True,False,True,cruise,35,1
change_to_right,False,False,False,True,True,False,True,keep,35,1
change_to_right,False,False,False,True,True,False,True,swerve_left,35,1
change_to_right,False,False,False,True,True,False,True,swerve_right,35,2
change_to_right,False,False,False,True,True,False,True,change_to_left,35,3
change_to_right,False,False,False,True,True,False,True,change_to_right,35,4
change_to_left,False,False,False,True,True,False,True,cruise,36,1
change_to_left,False,False,False,True,True,False,True,keep,36,1
change_to_left,False,False,False,True,True,False,True,swerve_left,36,1
change_to_left,False,False,False,True,True,False,True,swerve_right,36,2
change_to_left,False,False,False,True,True,False,True,change_to_right,36,3
change_to_left,False,False,False,True,True,False,True,change_to_left,36,4
change_to_right,False,False,False,True,True,True,False,cruise,37,1
change_to_right,False,False,False,True,True,True,False,keep,37,1
change_to_right,False,False,False,True,True,True,False,swerve_left,37,1
change_to_right,False,False,False,True,True,True,False,swerve_right,37,1
change_to_right,False,False,False,True,True,True,False,change_to_left,37,2
change_to_right,False,False,False,True,True,True,False,change_to_right,37,3
change_to_left,False,False,False,True,True,True,False,cruise,38,1
change_to_left,False,False,False,True,True,True,False,keep,38,1
change_to_left,False,False,False,True,True,True,False,swerve_left,38,1
change_to_left,False,False,False,True,True,True,False,swerve_right,38,1
change_to_left,False,False,False,True,True,True,False,change_to_right,38,2
change_to_left,False,False,False,True,True,True,False,change_to_left,38,3
change_to_right,False,False,False,True,True,True,True,cruise,39,1
change_to_right,False,False,False,True,True,True,True,keep,39,1
change_to_right,False,False,False,True,True,True,True,swerve_left,39,1
change_to_right,False,False,False,True,True,True,True,swerve_right,39,2
change_to_right,False,False,False,True,True,True,True,change_to_left,39,3
change_to_right,False,False,False,True,True,True,True,change_to_right,39,4
change_to_left,False,False,False,True,True,True,True,cruise,40,1
change_to_left,False,False,False,True,True,True,True,keep,40,1
change_to_left,False,False,False,True,True,True,True,swerve_left,40,1
change_to_left,False,False,False,True,True,True,True,swerve_right,40,2
change_to_left,False,False,False,True,True,True,True,change_to_right,40,3
change_to_left,False,False,False,True,True,True,True,change_to_left,40,4
change_to_right,False,False,True,False,False,False,False,keep,41,1
change_to_right,False,False,True,False,False,False,False,swerve_left,41,2
change_to_right,False,False,True,False,False,False,False,swerve_right,41,2
change_to_right,False,False,True,False,False,False,False,change_to_left,41,3
change_to_right,False,False,True,False,False,False,False,cruise,41,3
change_to_right,False,False,True,False,False,False,False,change_to_right,41,4
cruise,False,False,True,False,False,False,False,keep,42,1
cruise,False,False,True,False,False,False,False,swerve_left,42,2
cruise,False,False,True,False,False,False,False,swerve_right,42,2
cruise,False,False,True,False,False,False,False,change_to_left,42,3
cruise,False,False,True,False,False,False,False,change_to_right,42,3
cruise,False,False,True,False,False,False,False,cruise,42,4
change_to_left,False,False,True,False,False,False,False,keep,43,1
change_to_left,False,False,True,False,False,False,False,swerve_left,43,2
change_to_left,False,False,True,False,False,False,False,swerve_right,43,2
change_to_left,False,False,True,False,False,False,False,change_to_right,43,3
change_to_left,False,False,True,False,False,False,False,cruise,43,3
change_to_left,False,False,True,False,False,False,False,change_to_left,43,4
change_to_right,False,False,True,False,False,False,True,keep,44,1
change_to_right,False,False,True,False,False,False,True,swerve_left,44,1
change_to_right,False,False,True,False,False,False,True,swerve_right,44,2
change_to_right,False,False,True,False,False,False,True,change_to_left,44,3
change_to_right,False,False,True,False,False,False,True,cruise,44,3
change_to_right,False,False,True,False,False,False,True,change_to_right,44,4
cruise,False,False,True,False,False,False,True,keep,45,1
cruise,False,False,True,False,False,False,True,swerve_left,45,1
cruise,False,False,True,False,False,False,True,swerve_right,45,2
cruise,False,False,True,False,False,False,True,change_to_left,45,3
cruise,False,False,True,False,False,False,True,change_to_right,45,3
cruise,False,False,True,False,False,False,True,cruise,45,4
change_to_left,False,False,True,False,False,False,True,keep,46,1
change_to_left,False,False,True,False,False,False,True,swerve_left,46,1
change_to_left,False,False,True,False,False,False,True,swerve_right,46,2
change_to_left,False,False,True,False,False,False,True,change_to_right,46,3
change_to_left,False,False,True,False,False,False,True,cruise,46,3
change_to_left,False,False,True,False,False,False,True,change_to_left,46,4
change_to_right,False,False,True,False,False,True,False,keep,47,1
change_to_right,False,False,True,False,False,True,False,swerve_left,47,2
change_to_right,False,False,True,False,False,True,False,swerve_right,47,2
change_to_right,False,False,True,False,False,True,False,change_to_left,47,3
change_to_right,False,False,True,False,False,True,False,cruise,47,3
change_to_right,False,False,True,False,False,True,False,change_to_right,47,4
cruise,False,False,True,False,False,True,False,keep,48,1
cruise,False,False,True,False,False,True,False,swerve_left,48,2
cruise,False,False,True,False,False,True,False,swerve_right,48,2
cruise,False,False,True,False,False,True,False,change_to_left,48,3
cruise,False,False,True,False,False,True,False,change_to_right,48,3
cruise,False,False,True,False,False,True,False,cruise,48,4
change_to_left,False,False,True,False,False,True,False,keep,49,1
change_to_left,False,False,True,False,False,True,False,swerve_left,49,2
change_to_left,False,False,True,False,False,True,False,swerve_right,49,2
change_to_left,False,False,True,False,False,True,False,change_to_right,49,3
change_to_left,False,False,True,False,False,True,False,cruise,49,3
change_to_left,False,False,True,False,False,True,False,change_to_left,49,4
change_to_right,False,False,True,False,False,True,True,keep,50,1
change_to_right,False,False,True,False,False,True,True,swerve_left,50,1
change_to_right,False,False,True,False,False,True,True,swerve_right,50,2
change_to_right,False,False,True,False,False,True,True,change_to_left,50,3
change_to_right,False,False,True,False,False,True,True,cruise,50,3
change_to_right,False,False,True,False,False,True,True,change_to_right,50,4
cruise,False,False,True,False,False,True,True,keep,51,1
cruise,False,False,True,False,False,True,True,swerve_left,51,1
cruise,False,False,True,False,False,True,True,swerve_right,51,2
cruise,False,False,True,False,False,True,True,change_to_left,51,3
cruise,False,False,True,False,False,True,True,change_to_right,51,3
cruise,False,False,True,False,False,True,True,cruise,51,4
change_to_left,False,False,True,False,False,True,True,keep,52,1
change_to_left,False,False,True,False,False,True,True,swerve_left,52,1
change_to_left,False,False,True,False,False,True,True,swerve_right,52,2
change_to_left,False,False,True,False,False,True,True,change_to_right,52,3
change_to_left,False,False,True,False,False,True,True,cruise,52,3
change_to_left,False,False,True,False,False,True,True,change_to_left,52,4
change_to_right,False,False,True,False,True,False,False,keep,53,1
change_to_right,False,False,True,False,True,False,False,swerve_left,53,2
change_to_right,False,False,True,False,True,False,False,swerve_right,53,2
change_to_right,False,False,True,False,True,False,False,change_to_left,53,3
change_to_right,False,False,True,False,True,False,False,cruise,53,3
change_to_right,False,False,True,False,True,False,False,change_to_right,53,4
cruise,False,False,True,False,True,False,False,keep,54,1
cruise,False,False,True,False,True,False,False,swerve_left,54,2
cruise,False,False,True,False,True,False,False,swerve_right,54,2
cruise,False,False,True,False,True,False,False,change_to_left,54,3
cruise,False,False,True,False,True,False,False,change_to_right,54,3
cruise,False,False,True,False,True,False,False,cruise,54,4
change_to_left,False,False,True,False,True,False,False,keep,55,1
change_to_left,False,False,True,False,True,False,False,swerve_left,55,2
change_to_left,False,False,True,False,True,False,False,swerve_right,55,2
change_to_left,False,False,True,False,True,False,False,change_to_right,55,3
change_to_left,False,False,True,False,True,False,False,cruise,55,3
change_to_left,False,False,True,False,True,False,False,change_to_left,55,4
change_to_right,False,False,True,False,True,False,True,keep,56,1
change_to_right,False,False,True,False,True,False,True,swerve_left,56,2
change_to_right,False,False,True,False,True,False,True,swerve_right,56,2
change_to_right,False,False,True,False,True,False,True,change_to_left,56,3
change_to_right,False,False,True,False,True,False,True,cruise,56,3
change_to_right,False,False,True,False,True,False,True,change_to_right,56,4
cruise,False,False,True,False,True,False,True,keep,57,1
cruise,False,False,True,False,True,False,True,swerve_left,57,1
cruise,False,False,True,False,True,False,True,swerve_right,57,2
cruise,False,False,True,False,True,False,True,change_to_left,57,3
cruise,False,False,True,False,True,False,True,change_to_right,57,3
cruise,False,False,True,False,True,False,True,cruise,57,4
change_to_left,False,False,True,False,True,False,True,keep,58,1
change_to_left,False,False,True,False,True,False,True,swerve_left,58,1
change_to_left,False,False,True,False,True,False,True,swerve_right,58,2
change_to_left,False,False,True,False,True,False,True,change_to_right,58,3
change_to_left,False,False,True,False,True,False,True,cruise,58,3
change_to_left,False,False,True,False,True,False,True,change_to_left,58,4
change_to_right,False,False,True,False,True,True,False,keep,59,1
change_to_right,False,False,True,False,True,True,False,swerve_left,59,1
change_to_right,False,False,True,False,True,True,False,swerve_right,59,1
change_to_right,False,False,True,False,True,True,False,change_to_left,59,2
change_to_right,False,False,True,False,True,True,False,cruise,59,2
change_to_right,False,False,True,False,True,True,False,change_to_right,59,3
cruise,False,False,True,False,True,True,False,keep,60,1
cruise,False,False,True,False,True,True,False,swerve_left,60,1
cruise,False,False,True,False,True,True,False,swerve_right,60,1
cruise,False,False,True,False,True,True,False,change_to_left,60,2
cruise,False,False,True,False,True,True,False,change_to_right,60,2
cruise,False,False,True,False,True,True,False,cruise,60,3
